,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Interpolate N,Interpolate %,,,,,,,,,,,,,
"1,74361","6,611373503","63,27272727","0,242287668","0,271949954","0,4475726438","1,750169085","0,8181818182","0,273","0,182","6,54","1,603636364","4,545454545",,,"0,7337592806","0,7914716126","3,910357589","0,8492253909","-0,1191393646","-0,04912359844","0,1002867011",
"1,917971","6,75387515","64,36363636","0,2222958544","0,2637069201","0,4644009444","1,925114136","1,090909091","0,264","0,176","6,72","1,538181818","4,727272727",,,"0,7517519129","0,8294560584","4,145370846","0,7936443837","-0,1113418047","-0,04247835062","0,09460115327",
"2,1097681","6,900424732","65,45454545","0,2017361488","0,2558631243","0,4818694224","2,117560343","1,363636364","0,255","0,17","6,9","1,472727273","4,909090909",,,"0,7702556479","0,8685194992","4,394469217","0,7421229207","-0,1041137655","-0,0368059071","0,08923873246",
"2,53172172","7,207783382","66,54545455","0,1586162483","0,2406195391","0,5188286587","2,568202142","1,636363636","0,246","0,164","7,08","1,407272727","5,090909091",,,"0,8090635584","0,9504473101","4,950000542","0,6481931666","-0,09093619059","-0,02762618069","0,07922359995",
"3,038066064","7,512345966","67,63636364","0,1158886131","0,2276389935","0,5560529701","3,076011501","1,909090909","0,237","0,158","7,26","1,341818182","5,272727273",,,"0,84751843","1,031629817","5,531867766","0,5721738519","-0,08027130358","-0,02125515776","0,07089049835",
"3,645679277","7,838294971","68,72727273","0,07016063815","0,2155306151","0,5964370026","3,691693435","2,181818182","0,228","0,152","7,44","1,276363636","5,454545455",,,"0,8886736075","1,118512969","6,189578144","0,5050587555","-0,07085560543","-0,01638413068","0,06335760752",
"4,374815132","8,183311565","69,81818182","0,02175763675","0,2043382599","0,6397179589","4,429340841","2,454545455","0,219","0,146","7,62","1,210909091","5,636363636",,,"0,9322363087","1,210478672","6,92389635","0,4464354392","-0,06263123446","-0,01268717022","0,05663817639",
"5,249778159","8,54958386","70,90909091","-0,02962736528","0,193929232","0,6861860325","5,314714297","2,727272727","0,21","0,14","7,8","1,145454545","5,818181818",,,"0,9784828106","1,308110176","7,745296531","0,3950016583","-0,0554154964","-0,009858513317","0,05063161381",
"6,29973379","8,938668193",72,"-0,08421270949","0,1842184042","0,7360591591","6,377106596",3,"0,201","0,134","7,98","1,08",6,,,"1,02760962","1,41182233","8,663850612","0,3497983928","-0,04907384859","-0,00768394653","0,04526357624",
,,,,,,,,,,,,,,,,,Growth Coef,"0,3","0,5","0,6",1,"2,4"
enemy_heavyjohnny,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,RifleDamage,DmgFront,HearingRangeAdditional,HeardWatchTime,HeardWaitTime,HearWanderTime,TimeToAlertOthers,AgentSpeed,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"1,72",6,60,"0,3","0,35","0,6","1,725541126",0,"0,3","0,2",6,"1,8",6,,,"0,6565656566","0,6565656566","2,875901876","0,5775","-0,1215277778","-0,07774038462","0,1448820873",
"1,892","6,09613","60,54545455","0,2797706229","0,3370594231","0,6241169092","1,899780762","0,2727272727","0,291","0,194","6,18","1,734545455","6,109090909",,,"0,6687032828","0,6889326599","3,043950155","0,5346575681","-0,1125121145","-0,0660556898","0,136883538",
"2,0812","6,193127168","61,09090909","0,2593587608","0,3250756502","0,6489502163","2,08946737","0,5454545455","0,282","0,188","6,36","1,669090909","6,218181818",,,"0,6809504001","0,7215916392","3,219765272","0,4959161513","-0,1043594595","-0,05641648372","0,1294090194",
"2,28932","6,292237316","61,63636364","0,2385022484","0,3138006675","0,6748129492","2,29832184","0,8181818182","0,273","0,182","6,54","1,603636364","6,327272727",,,"0,6934643075","0,7549620591","3,405865051","0,4603685529","-0,09687890422","-0,04832136574","0,1223379847",
"2,518252","6,393486245","62,18181818","0,2171956555","0,3031733418","0,7017187618","2,528043648","1,090909091","0,264","0,176","6,72","1,538181818","6,436363636",,,"0,7062482633","0,7890526078","3,602645084","0,4277235051","-0,09000915512","-0,04150046689","0,1156557632",
"2,7700772","6,497009685","62,72727273","0,1954104199","0,2931288364","0,729711337","2,780740278","1,363636364","0,255","0,17","6,9","1,472727273","6,545454545",,,"0,7193194046","0,8239089847","3,810740133","0,3976881451","-0,08368858272","-0,03572948565","0,1093400894",
"3,04708492","6,602931791","63,27272727","0,1731204143","0,2836124793","0,758833484","3,058706787","1,636363636","0,246","0,164","7,08","1,407272727","6,654545455",,,"0,732693408","0,8595729937","4,030801027","0,370010497","-0,07786416182","-0,03082914165","0,1033706858",
"3,504147658","6,767749589","63,81818182","0,1384365342","0,2698799196","0,8048790123","3,533938613","1,909090909","0,237","0,158","7,26","1,341818182","6,763636364",,,"0,753503736","0,9150672018","4,390645748","0,3319519037","-0,0698551986","-0,02472279458","0,09489872119",
"4,029769807","6,932341698","64,36363636","0,1038001477","0,2576215869","0,8519327585","4,061245811","2,181818182","0,228","0,152","7,44","1,276363636","6,872727273",,,"0,7742855679","0,9704854202","4,767096663","0,299372654","-0,06299929588","-0,02006828118","0,08740470272",
"4,634235278","7,103879076","64,90909091","0,06770221472","0,2461226731","0,9020147326","4,670418199","2,454545455","0,219","0,146","7,62","1,210909091","6,981818182",,,"0,7959443277","1,028242113","5,177762658","0,2701302291","-0,05684558694","-0,01632804683","0,080472338",
"5,329370569","7,28188203","65,45454545","0,03024368047","0,235363268","0,9550421704","5,37057292","2,727272727","0,21","0,14","7,8","1,145454545","7,090909091",,,"0,8184194483","1,088175768","5,623388251","0,2439783734","-0,0513422503","-0,01332587639","0,07409530484",
"6,128776155","7,466867222",66,"-0,008684179759","0,2252595454","1,01122147","6,175798175",3,"0,201","0,134","7,98","1,08","7,2",,,"0,8417761644","1,150460344","6,107265675","0,2205322538","-0,04640830257","-0,01090406621","0,06822474882",
,,,,,,,,,,,,,,,,,Growth Coef,"0,4","0,5","0,6",1,"2,5"
enemy_visor,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,RifleDamage,DmgFront,HearingRangeAdditional,HeardWatchTime,HeardWaitTime,HearWanderTime,TimeToAlertOthers,AgentSpeed,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"1,56",5,180,"0,35","0,3","0,6","1,560606061",0,"0,3","0,2",6,"1,8",4,,,"0,5303030303","0,4803030303","2,601010101","0,6336","-0,1","-0,07495268139","0,1537864078",
"1,716","5,0984576","188,1818182","0,3344606061","0,2883528076","0,6238974757","1,723629538","0,2727272727","0,291","0,194","6,18","1,734545455","4,181818182",,,"0,5427345455","0,5082739394","2,762680737","0,5856742365","-0,09243595904","-0,06292866798","0,1447869074",
"1,8876","5,194490875","196,3636364","0,3193038392","0,2780343648","0,6476382518","1,895133789","0,5454545455","0,282","0,188","6,36","1,669090909","4,363636364",,,"0,554859959","0,5355561198","2,926222754","0,5440153452","-0,08586100776","-0,05348976857","0,1366949934",
"2,07636","5,293080715","204,5454545","0,303743574","0,2683406167","0,6724109676","2,084597541","0,8181818182","0,273","0,182","6,54","1,603636364","4,545454545",,,"0,5673081711","0,5635645971","3,100183729","0,5057044663","-0,07981446753","-0,04560427724","0,1290246111",
"2,283996","5,393917406","212,7272727","0,2878286922","0,2592471941","0,6981382762","2,2929306","1,090909091","0,264","0,176","6,72","1,538181818","4,727272727",,,"0,5800400766","0,5922113844","3,284350218","0,4705630039","-0,07426815086","-0,039014062","0,1217896916",
"2,5123956","5,497189516","220,9090909","0,2715294324","0,250684973","0,7248668509","2,522106723","1,363636364","0,255","0,17","6,9","1,472727273","4,909090909",,,"0,5930794844","0,6215500519","3,479406901","0,4382432406","-0,06916717813","-0,0334759953","0,1149621218",
"2,76363516","5,603037721","229,0909091","0,254823592","0,2425995682","0,7526334725","2,774201161","1,636363636","0,246","0,164","7,08","1,407272727","5,090909091",,,"0,6064441567","0,6516205647","3,68599227","0,4084619991","-0,06446685592","-0,02880135881","0,1085189471",
"3,039998676","5,711605905","237,2727273","0,2376884619","0,2349442386","0,7814775389","3,051506092","1,909090909","0,237","0,158","7,26","1,341818182","5,272727273",,,"0,6201522608","0,6824637988","3,904790528","0,3809723559","-0,06012821274","-0,02483960705","0,1024382735",
"3,343998544","5,823037444","245,4545455","0,2201014136","0,227678841","0,8114399607","3,356542072","2,181818182","0,228","0,152","7,44","1,276363636","5,454545455",,,"0,6342218994","0,7141204859","4,136525479","0,3555588106","-0,05611723653","-0,02146983478","0,09669951316",
"3,678398398","5,937476296","253,6363636","0,202039726","0,2207686389","0,8425633107","3,692081845","2,454545455","0,219","0,146","7,62","1,210909091","5,636363636",,,"0,6486712495","0,7466315235","4,381963703","0,3320320451","-0,05240404752","-0,01859418449","0,09128327551",
"4,046238238","6,055067567","261,8181818","0,1834804976","0,2141833896","0,8748918662","4,061175456","2,727272727","0,21","0,14","7,8","1,145454545","5,818181818",,,"0,6635186322","0,7800381346","4,641917033","0,3102248423","-0,04896225416","-0,01613290595","0,08617129456",
"4,450862062","6,175958033",270,"0,164400563","0,2078966122","0,9084716655","4,467177983",3,"0,201","0,134","7,98","1,08",6,,,"0,6787825799","0,814382017","4,917245252","0,2899887767","-0,04576843067","-0,01402059695","0,0813463595",
,,,,,,,,,,,,,,,,,Growth Coef,"0,1","0,2","0,4","1,3",2
enemy_sniper,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,ProjectileDamage,DmgFront,HearingRangeAdditional,HeardWatchTime,HeardWaitTime,HearWanderTime,TimeToAlertOthers,AgentSpeed,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"2,94",12,25,"0,5","1,1","1,4","2,945270891",0,"0,3","0,2",6,"1,8",4,,,"1,414141414","1,214141414","2,103764922","0,3111428571","-0,07857142857","-0,1423698598","0,3089698821",
"3,234","12,089836","25,22727273","0,4773141414","1,058893677","1,489208599","3,244612222","0,2727272727","0,291","0,194","6,18","1,734545455","4,181818182",,,"1,425484343","1,248170202","2,17874932","0,2815736469","-0,07110445629","-0,1206438979","0,2983362951",
"3,5574","12,1779088","25,45454545","0,4550735365","1,02115774","1,582524546","3,568558981","0,5454545455","0,282","0,188","6,36","1,669090909","4,363636364",,,"1,436604646","1,281531109","2,254978598","0,2555274522","-0,0645271344","-0,1028338404","0,2882510728",
"3,984288","12,28413897","25,68181818","0,4282477343","0,9784067289","1,702358881","4,002145374","0,8181818182","0,273","0,182","6,54","1,603636364","4,545454545",,,"1,450017547","1,321769813","2,350941049","0,2275954083","-0,05747358795","-0,08508674452","0,2764850272",
"4,46240256","12,38889139","25,90909091","0,4017951024","0,9392449433","1,829613102","4,481663036","1,090909091","0,264","0,176","6,72","1,538181818","4,727272727",,,"1,463243863","1,361448761","2,44951407","0,2032894262","-0,05133571368","-0,07083161832","0,2653587534",
"4,997890867","12,49383505","26,13636364","0,3752941783","0,9026796906","1,966598676","5,01928545","1,363636364","0,255","0,17","6,9","1,472727273","4,909090909",,,"1,476494325","1,401200147","2,552267279","0,1817661945","-0,04590055418","-0,05914001385","0,2546755214",
"5,597637771","12,59895995","26,36363636","0,3487474862","0,8684759263","2,113890855","5,621367916","1,636363636","0,246","0,164","7,08","1,407272727","5,090909091",,,"1,489767671","1,441020185","2,659251732","0,1626935781","-0,04108423689","-0,04952140305","0,2444296613",
"6,269354304","12,70438318","26,59090909","0,32212546","0,8363867313","2,272277948","6,295700639","1,909090909","0,237","0,158","7,26","1,341818182","5,272727273",,,"1,503078684","1,480953224","2,770656048","0,1457608414","-0,03680829328","-0,0415758818","0,2346014766",
"7,209757449","12,83761687","26,81818182","0,2884805888","0,7983840134","2,486717025","7,256614021","2,181818182","0,228","0,152","7,44","1,276363636","5,454545455",,,"1,51990112","1,531420531","2,918150295","0,1271395443","-0,03210594552","-0,03347594357","0,2227438392",
"8,291221067","12,96915634","27,04545455","0,2552635514","0,7637495663","2,717169371","8,342722071","2,454545455","0,219","0,146","7,62","1,210909091","5,636363636",,,"1,536509638","1,581246087","3,070372484","0,1113087876","-0,02810827969","-0,02715287215","0,2117006986",
"9,534904227","13,10185669","27,27272727","0,2217533619","0,7313783966","2,969555166","9,593845742","2,727272727","0,21","0,14","7,8","1,145454545","5,818181818",,,"1,553264733","1,631511371","3,230734978","0,09753172744","-0,0246292241","-0,02208171239","0,2011926093",
"10,96513986","13,23560137","27,5","0,1879794518","0,7010978743","3,245449408","11,03238628",3,"0,201","0,134","7,98","1,08",6,,,"1,570151688","1,682172237","3,39934009","0,08554585925","-0,02160248971","-0,01800702602","0,1912135835",
,,,,,,,,,,,,,,,,,Growth Coef,"0,2","0,5","0,6",1,"2,3"
enemy_withshield,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,RifleDamage,DmgFront,HearingRangeAdditional,HeardWatchTime,HeardWaitTime,HearWanderTime,TimeToAlertOthers,AgentSpeed,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"0,756","7,5",50,"0,7","0,5","0,4","0,7567676768",0,"0,3","0,2",6,"1,8",4,,,"0,845959596","0,445959596","1,891919192","0,8608695652","-0,2717391304","-0,3656014575","0,2298103484",
"0,8316","7,56442087",50,"0,6796651296","0,4726411936","0,4171972423","0,8359720527","0,2727272727","0,291","0,194","6,18","1,734545455","4,181818182",,,"0,8540935441","0,4744284146","2,003781348","0,7802207255","-0,2462817947","-0,2944248307","0,2169810638",
"0,91476","7,625892859",50,"0,6602610925","0,4494440655","0,4342927349","0,918977428","0,5454545455","0,282","0,188","6,36","1,669090909","4,363636364",,,"0,861855159","0,5015940665","2,116032238","0,7127224311","-0,2249755149","-0,2419021678","0,2054706922",
"1,006236","7,688084001",50,"0,6406300503","0,4283360278","0,4522218141","1,010802888","0,8181818182","0,273","0,182","6,54","1,603636364","4,545454545",,,"0,8697075758","0,5290775255","2,235192679","0,6523196157","-0,2059089696","-0,2000422831","0,1945168364",
"1,1068596","7,750743678",50,"0,6208511117","0,4091206238","0,4709064618","1,111758211","1,090909091","0,264","0,176","6,72","1,538181818","4,727272727",,,"0,8776191513","0,5567680395","2,360889692","0,5983345264","-0,1888682217","-0,1665394833","0,1841604927",
"1,21754556","7,814039901",50,"0,6008712433","0,3915028534","0,4903883121","1,222821264","1,363636364","0,255","0,17","6,9","1,472727273","4,909090909",,,"0,8856110986","0,5847398553","2,493577506","0,5498220621","-0,1735549438","-0,1394409944","0,1743609764",
"1,339300116","7,878082544",50,"0,5806557627","0,3752609265","0,5106976784","1,344994199","1,636363636","0,246","0,164","7,08","1,407272727","5,090909091",,,"0,8936972909","0,6130415282","2,633640715","0,5060539325","-0,1597392464","-0,1173373643","0,1650880495",
"1,540195133","7,976864744",50,"0,5494745125","0,3523565633","0,54292302","1,55478152","1,909090909","0,237","0,158","7,26","1,341818182","5,272727273",,,"0,9061697909","0,6566952784","2,863723701","0,4469628736","-0,1410867657","-0,0908418553","0,151824217",
"1,771224403","8,073606677",50,"0,5189372862","0,3326944903","0,5757842912","1,786296742","2,181818182","0,228","0,152","7,44","1,276363636","5,454545455",,,"0,9183846815","0,6994473953","3,102371442","0,3979359153","-0,1256110844","-0,0716967983","0,1401452459",
"2,036908064","8,173333923",50,"0,4874577263","0,3147264608","0,6109062766","2,054128711","2,454545455","0,219","0,146","7,62","1,210909091","5,636363636",,,"0,9309765054","0,7435187791","3,362428558","0,3548019615","-0,1119955686","-0,05688835834","0,1293061254",
"2,342444274","8,27562885",50,"0,4551676609","0,2983246618","0,6481872449","2,361895384","2,727272727","0,21","0,14","7,8","1,145454545","5,818181818",,,"0,9438925316","0,7887248707","3,643847364","0,3169684364","-0,1000531681","-0,04541253149","0,1193196545",
"2,693810915","8,380835597",50,"0,4219584605","0,2832515373","0,6877912914","2,715866765",3,"0,201","0,134","7,98","1,08",6,,,"0,9571762118","0,8352177513","3,948678617","0,2836239782","-0,08952777089","-0,03643439622","0,1101083808",
,,,,,,,,,,,,,,,,,Growth Coef,"0,3",0,"0,3","2,5","3,1"
boss_shotgun,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,ShotgunDamage,DmgFront,SweepRotationTime,SweepRotationSpan,,,,,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"2,48","10,5",60,"0,04",1,1,"2,484747475","4,8",100,,,,,,,"1,224747475","1,484747475","2,484747475","0,7664516129",0,"-0,06517889082","0,3245607938",
"2,728","10,68644129","61,09090909","0,04","0,9841450702","1,078950233","2,732535444","4,8",103,,,,,,,"1,248288042","1,508288042","2,532587103","0,6991050686",0,"-0,05759597079","0,3184299612",
"3,0008","10,8739864","62,18181818","0,04","0,9686941127","1,164373705","3,005804565","4,8",106,,,,,,,"1,27196798","1,53196798","2,581477538","0,6376450807",0,"-0,05090855899","0,3123992369",
"3,30088","11,0621398","63,27272727","0,04","0,9536722475","1,256555046","3,306372218","4,8",109,,,,,,,"1,295724722","1,555724722","2,631299145","0,5817044265",0,"-0,04502394843","0,3064841997",
"3,630968","11,2509586","64,36363636","0,04","0,9390576637","1,356038524","3,636997112","4,8",112,,,,,,,"1,31956548","1,57956548","2,682075065","0,5307682991",0,"-0,03984138448","0,3006819696",
"3,9940648","11,44047881","65,45454545","0,04","0,9248315927","1,46340234","4,000683787","4,8",115,,,,,,,"1,3434948","1,6034948","2,733823555","0,4843771577",0,"-0,03527390769","0,2949903667",
"4,39347128","11,6307361","66,54545455","0,04","0,9109764429","1,579270866","4,400738419","4,8",118,,,,,,,"1,367517185","1,627517185","2,786563415","0,4421150157",0,"-0,03124579992","0,2894072349",
"4,832818408","11,82176515","67,63636364","0,04","0,897475758","1,704317941","4,840797753","4,8",121,,,,,,,"1,391637014","1,651637014","2,840313791","0,4036052931",0,"-0,02769107341","0,2839304641",
"5,316100249","12,01359976","68,72727273","0,04","0,8843141217","1,8392708","5,324862208","4,8",124,,,,,,,"1,415858555","1,675858555","2,895094191","0,3685069023",0,"-0,02455215656","0,278557988",
"5,847710274","12,20627288","69,81818182","0,04","0,8714770742","1,984914305","5,85733224","4,8",127,,,,,,,"1,440185969","1,700185969","2,950924494","0,3365107539",0,"-0,02177876781","0,2732877831",
"6,432481301","12,39981672","70,90909091","0,04","0,8589510363","2,142095517","6,443048346","4,8",130,,,,,,,"1,464623324","1,724623324","3,007824952","0,3073366253",0,"-0,0193269485","0,2681178678",
"7,075729431","12,59426279",72,"0,04","0,8467232415","2,31172862","7,08733507","4,8",133,,,,,,,"1,489174595","1,749174595","3,065816207","0,2807303541",0,"-0,01715823105","0,2630463011",
,,,,,,,,,,,,,,,,,Growth Coef,"0,25",0,"0,6",1,"1,85"
boss_ak,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,Damage for calculation,DmgFront,AKDamage,,,,,,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
8,"10,5",70,"0,03","1,5",4,"7,985993266",1,,,,,,,,"1,224747475","1,494747475","1,996498316","0,4013513514",0,"-0,1220489986","0,2707443007",
"8,8","10,8267027","71,27272727","0,03","1,400651293","4,220387684","8,848596215","1,055096921",,,,,,,,"1,265997816","1,535997816","2,096631134","0,355198515",0,"-0,0981514297","0,257813848",
"9,68","11,12201609","72,54545455","0,03","1,319047823","4,434735093","9,724233667","1,108683773",,,,,,,,"1,30328486","1,57328486","2,19274285","0,3183364148",0,"-0,08087709789","0,2465134206",
"10,648","11,41608455","73,81818182","0,03","1,244336283","4,662455891","10,69658644","1,165613973",,,,,,,,"1,340414717","1,610414717","2,29419574","0,2856383333",0,"-0,06688097328","0,2356122153",
"11,7128","11,7063541","75,09090909","0,03","1,176370931","4,901888219","11,76513847","1,225472055",,,,,,,,"1,377064912","1,647064912","2,400123777","0,2568469085",0,"-0,05558965412","0,2252136101",
"13,118336","12,0539187","76,36363636","0,03","1,101147149","5,20664672","13,20210473","1,30166168",,,,,,,,"1,420949331","1,690949331","2,535625219","0,2263501097",0,"-0,04466645993","0,2131784052",
"14,69253632","12,39127806","77,63636364","0,03","1,034574846","5,524374549","14,78107847","1,381093637",,,,,,,,"1,463545209","1,733545209","2,67561121","0,2004344003",0,"-0,03624808469","0,2020250694",
"16,45564068","12,72691793","78,90909091","0,03","0,9738751731","5,862678095","16,55364847","1,465669524",,,,,,,,"1,505923981","1,775923981","2,823564282","0,177787289",0,"-0,02954375482","0,1914390772",
"18,92398678","13,14833395","80,18181818","0,03","0,9038464791","6,316453474","19,09919284","1,579113369",,,,,,,,"1,559133075","1,829133075","3,023720971","0,1531492347",0,"-0,02293243962","0,1787666738",
"21,7625848","13,55623039","81,45454545","0,03","0,8427684037","6,792579196","21,95019918","1,698144799",,,,,,,,"1,610635151","1,880635151","3,231496983","0,132790497",0,"-0,01803253369","0,1672724881",
"25,02697252","13,96479665","82,72727273","0,03","0,7872863849","7,307238727","25,24125389","1,826809682",,,,,,,,"1,6622218","1,9322218","3,454280725","0,1153115757",0,"-0,01423753256","0,1564842535",
"30,03236702","14,51726746",84,"0,03","0,7190727557","8,056972489","30,48847649","2,014243122",,,,,,,,"1,731978214","2,001978214","3,784110785","0,0955200224",0,"-0,01039666291","0,142844798",
,,,,,,,,,,,,,,,,,Growth Coef,"0,2",0,"0,6",1,"1,8"
boss_tompson,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,InfiniteFireDamage,DmgFront,,,,,,,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"4,86",10,120,"0,04","0,2","0,6","4,864848485",,,,,,,,,"1,161616162","1,421616162","8,108080808","0,2933333333",0,"-0,01563166122","0,08907437399",
"5,346","10,14113778","122,1818182","0,04","0,1924788025","0,64285827","5,450419948",,,,,,,,,"1,179436588","1,439436588","8,478416165","0,2634816321",0,"-0,01334555959","0,08518362489",
"5,8806","10,25448232","124,3636364","0,04","0,186737809","0,6795025662","5,969407937",,,,,,,,,"1,193747768","1,453747768","8,784967466","0,2418376031",0,"-0,01176692813","0,08221114364",
"6,46866","10,37522024","126,5454545","0,04","0,1808631459","0,7205466493","6,572914118",,,,,,,,,"1,208992455","1,468992455","9,122121552","0,2208872507",0,"-0,01030142342","0,07917261551",
"7,115526","10,49507629","128,7272727","0,04","0,1752734711","0,7635066512","7,228489103",,,,,,,,,"1,224125794","1,484125794","9,467486749","0,2020161243",0,"-0,009037068671","0,07628447141",
"7,96938912","10,64475004","130,9090909","0,04","0,1685779068","0,8200258174","8,131295149",,,,,,,,,"1,243023995","1,503023995","9,915901399","0,1809071798",0,"-0,007685756473","0,0728347523",
"8,925715814","10,78846644","133,0909091","0,04","0,162472183","0,8778872497","9,097237341",,,,,,,,,"1,261170005","1,521170005","10,3626489","0,1628631935",0,"-0,006589011751","0,0696947498",
"9,996801712","10,93497237","135,2727273","0,04","0,1565449428","0,9405821635","10,19150044",,,,,,,,,"1,279668228","1,539668228","10,83531119","0,1464620051",0,"-0,005640699227","0,06665449744",
"11,49632197","11,12607914","137,4545455","0,04","0,149184837","1,027554386","11,79867158",,,,,,,,,"1,303797872","1,563797872","11,48228428","0,1277622463",0,"-0,004616817191","0,06289882786",
"13,22077026","11,30776967","139,6363636","0,04","0,1426192674","1,117002727","13,54443536",,,,,,,,,"1,326738594","1,586738594","12,12569587","0,112358683",0,"-0,003825388332","0,05956130104",
"15,2038858","11,49422333","141,8181818","0,04","0,136271225","1,215841755","15,58311952",,,,,,,,,"1,350280724","1,610280724","12,81673331","0,09863016921",0,"-0,003161610877","0,05634994538",
"18,24466296","11,75673181",144,"0,04","0,1278564603","1,365819582","18,92162431",,,,,,,,,"1,383425734","1,643425734","13,85367771","0,08237814606",0,"-0,002427619853","0,05213216571",
,,,,,,,,,,,,,,,,,Growth Coef,"0,2","0,1","0,3",1,"1,6"
boss_grenades,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,GrenadesDamage,DmgFront,GrenadesGrenadeSpeed,SweepRotationTime,SweepRotationSpan,,,,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"2,86",8,100,"0,3",1,"1,5","2,863636364",10,"4,8",100,,,,,,"0,9090909091","0,9090909091","1,909090909","0,66","-0,04166666667","-0,1375","0,3273809524",
"3,146","8,18636","101,8181818","0,2882348485","0,961175","1,592440476","3,157066138","10,3","4,8",103,,,,,,"0,9326212121","0,9443863636","1,982533216","0,5975502785","-0,03772413374","-0,1151843006","0,3152532301",
"3,4606","8,367736744","103,6363636","0,2767842965","0,9262126644","1,688130507","3,471994593","10,6","4,8",106,,,,,,"0,9555223161","0,9787380196","2,056709822","0,543175148","-0,03429136035","-0,09735319852","0,3038834129",
"3,80666","8,549518675","105,4545455","0,2653081644","0,8936319167","1,789829772","3,81907177","10,9","4,8",109,,,,,,"0,9784745802","1,013166416","2,133762567","0,4942903572","-0,03120519932","-0,08257072572","0,2929098156",
"4,187326","8,73154319","107,2727273","0,2538167178","0,8632248976","1,897695051","4,200805959","11,2","4,8",112,,,,,,"1,001457474","1,047640756","2,213635935","0,4503319162","-0,02843004521","-0,07027654108","0,2823409171",
